  SYNC    include/config/auto.conf.cmd
  CC      kernel/rcu/srcutree.o
  AS      arch/arm64/xen/hypercall.o
  AR      arch/arm64/xen/built-in.a
  CC      arch/arm64/crypto/sha1-ce-glue.o
  CC      fs/proc/array.o
  AS      arch/arm64/crypto/sha1-ce-core.o
  CC      kernel/rcu/tree.o
  CC      mm/gup.o
  CC      kernel/sched/membarrier.o
  CC      arch/arm64/crypto/sha2-ce-glue.o
  CC      fs/kernfs/file.o
  CC      kernel/irq/spurious.o
  CC      kernel/rcu/rcu_segcblist.o
  CC      fs/proc/fd.o
  AS      arch/arm64/crypto/sha2-ce-core.o
  CC      arch/arm64/crypto/ghash-ce-glue.o
  CC      kernel/irq/resend.o
  CC      kernel/sched/isolation.o
  CC      fs/kernfs/symlink.o
  CC      kernel/irq/chip.o
  CC      fs/proc/proc_tty.o
  CC      fs/proc/cmdline.o
  AS      arch/arm64/crypto/ghash-ce-core.o
  AS      arch/arm64/crypto/aes-ce-core.o
  CC      arch/arm64/crypto/aes-ce-glue.o
  CC      arch/arm64/crypto/aes-ce-ccm-glue.o
  AR      fs/kernfs/built-in.a
  CC      fs/sysfs/file.o
  CC      fs/proc/consoles.o
  CC      mm/mmap_lock.o
  CC      fs/proc/cpuinfo.o
  AS      arch/arm64/crypto/aes-ce-ccm-core.o
  CC      arch/arm64/crypto/aes-glue-ce.o
  AR      kernel/sched/built-in.a
  CC      fs/sysfs/dir.o
  AS      arch/arm64/crypto/aes-ce.o
  CC      arch/arm64/crypto/sha256-glue.o
  CC      fs/proc/devices.o
  CC      kernel/irq/dummychip.o
  CC      fs/sysfs/symlink.o
  CC      mm/highmem.o
  CC      fs/proc/interrupts.o
  CC      fs/sysfs/mount.o
  AS      arch/arm64/crypto/sha256-core.o
  AS      arch/arm64/crypto/aes-cipher-core.o
  CC      kernel/irq/devres.o
  CC      mm/memory.o
  CC      mm/mincore.o
  CC      arch/arm64/crypto/aes-cipher-glue.o
  CC      fs/proc/loadavg.o
  CC      fs/sysfs/group.o
  CC      fs/proc/meminfo.o
  AR      arch/arm64/crypto/built-in.a
  AR      arch/arm64/built-in.a
  CC      ipc/compat.o
  AR      kernel/rcu/built-in.a
  AR      kernel/livepatch/built-in.a
  CC      fs/proc/stat.o
  CC      kernel/dma/mapping.o
  CC      mm/mlock.o
  CC      kernel/irq/generic-chip.o
  AR      fs/sysfs/built-in.a
  CC      fs/configfs/inode.o
  CC      ipc/util.o
  CC      fs/proc/uptime.o
  CC      fs/proc/util.o
  CC      fs/proc/version.o
  CC      kernel/irq/autoprobe.o
  CC      fs/configfs/file.o
  CC      fs/proc/softirqs.o
  CC      kernel/irq/irqdomain.o
  CC      kernel/dma/direct.o
  CC      ipc/msgutil.o
  CC      fs/configfs/dir.o
  CC      fs/proc/namespaces.o
  CC      mm/mmap.o
  CC      kernel/irq/proc.o
  CC      ipc/msg.o
  CC      kernel/dma/ops_helpers.o
  CC      fs/proc/self.o
  CC      kernel/irq/cpuhotplug.o
  CC      kernel/dma/dummy.o
  CC      fs/proc/thread_self.o
  CC      kernel/irq/pm.o
  CC      kernel/irq/msi.o
  CC      ipc/sem.o
  CC      mm/mmu_gather.o
  CC      fs/configfs/symlink.o
  CC      kernel/dma/contiguous.o
  CC      fs/proc/proc_sysctl.o
  CC      fs/configfs/mount.o
  CC      kernel/dma/coherent.o
  CC      mm/mprotect.o
  CC      kernel/irq/ipi.o
  CC      kernel/irq/affinity.o
  CC      fs/configfs/item.o
  CC      kernel/dma/swiotlb.o
  CC      mm/mremap.o
  CC      fs/proc/proc_net.o
  CC      mm/msync.o
  CC      ipc/shm.o
  AR      kernel/irq/built-in.a
  CC      mm/page_vma_mapped.o
  CC      mm/pagewalk.o
  AR      fs/configfs/built-in.a
  CC      fs/devpts/inode.o
  CC      mm/pgtable-generic.o
  CC      mm/rmap.o
  CC      mm/vmalloc.o
  CC      kernel/dma/pool.o
  CC      mm/process_vm_access.o
  AR      fs/devpts/built-in.a
  CC      fs/ext4/balloc.o
  CC      fs/proc/vmcore.o
  CC      mm/page_alloc.o
  CC      ipc/syscall.o
  CC      kernel/dma/remap.o
  CC      ipc/ipc_sysctl.o
  CC      ipc/mqueue.o
  AR      kernel/dma/built-in.a
  CC      ipc/namespace.o
  AR      kernel/entry/built-in.a
  CC      kernel/time/time.o
  CC      fs/ext4/bitmap.o
  CC      ipc/mq_sysctl.o
  CC      fs/proc/kmsg.o
  CC      fs/ext4/block_validity.o
  CC      mm/init-mm.o
  CC      mm/memblock.o
  CC      fs/proc/page.o
  CC      mm/madvise.o
  CC      kernel/time/timer.o
  AR      ipc/built-in.a
  CC      fs/ext4/dir.o
  CC      fs/ext4/ext4_jbd2.o
  CC      mm/page_io.o
  AR      fs/proc/built-in.a
  CC      fs/ext2/balloc.o
  CC      mm/swap_state.o
  CC      fs/ext4/extents.o
  CC      fs/ext4/extents_status.o
  CC      mm/swapfile.o
  CC      mm/swap_slots.o
  CC      fs/ext2/dir.o
  CC      mm/dmapool.o
  CC      kernel/time/hrtimer.o
  CC      mm/hugetlb.o
  CC      fs/ext4/file.o
  CC      fs/ext2/file.o
  CC      mm/mempolicy.o
  CC      mm/sparse.o
  CC      fs/ext2/ialloc.o
  CC      fs/ext4/fsmap.o
  CC      kernel/time/timekeeping.o
  CC      fs/ext2/inode.o
  CC      mm/sparse-vmemmap.o
  CC      fs/ext4/fsync.o
  CC      mm/mmu_notifier.o
  CC      fs/ext4/hash.o
  CC      mm/ksm.o
  CC      fs/ext4/ialloc.o
  CC      mm/slub.o
  CC      fs/jbd2/transaction.o
  CC      fs/ext2/ioctl.o
  CC      mm/memtest.o
  CC      kernel/time/ntp.o
  CC      fs/ext2/namei.o
  CC      mm/migrate.o
  CC      mm/page_counter.o
  CC      kernel/time/clocksource.o
  CC      fs/ext4/indirect.o
  CC      fs/ext2/super.o
  CC      mm/memcontrol.o
  CC      fs/jbd2/commit.o
  CC      kernel/time/jiffies.o
  CC      mm/vmpressure.o
  CC      fs/ext4/inline.o
  CC      fs/ext2/symlink.o
  CC      kernel/time/timer_list.o
  AR      fs/ext2/built-in.a
  CC      fs/ext4/inode.o
  CC      mm/swap_cgroup.o
  CC      mm/hugetlb_cgroup.o
  CC      kernel/time/timeconv.o
  CC      fs/jbd2/recovery.o
  CC      mm/memory-failure.o
  CC      mm/page_isolation.o
  CC      mm/early_ioremap.o
  CC      fs/ext4/ioctl.o
  CC      kernel/time/timecounter.o
  CC      kernel/time/alarmtimer.o
  CC      mm/cma.o
  CC      mm/balloon_compaction.o
  CC      fs/jbd2/checkpoint.o
  CC      mm/secretmem.o
  CC      fs/jbd2/revoke.o
  CC      kernel/time/posix-timers.o
  CC      fs/ext4/mballoc.o
  CC      mm/memfd.o
  CC      fs/ext4/migrate.o
  CC      mm/page_reporting.o
  CC      fs/ext4/mmp.o
  CC      fs/jbd2/journal.o
  CC      fs/ext4/move_extent.o
  CC      fs/ext4/namei.o
  CC      kernel/time/posix-cpu-timers.o
  CC      fs/ext4/page-io.o
  CC      fs/ext4/readpage.o
  AR      mm/built-in.a
  CC      security/keys/gc.o
  CC      fs/ext4/resize.o
  CC      kernel/time/posix-clock.o
  CC      fs/ext4/super.o
  CC      security/keys/key.o
  CC      fs/ext4/symlink.o
  CC      fs/ext4/sysfs.o
  AR      fs/jbd2/built-in.a
  CC      fs/squashfs/block.o
  CC      kernel/time/itimer.o
  CC      security/keys/keyring.o
  CC      fs/ext4/xattr.o
  CC      fs/ramfs/inode.o
  CC      security/keys/keyctl.o
  CC      kernel/time/clockevents.o
  CC      fs/squashfs/cache.o
  CC      kernel/time/tick-common.o
  CC      fs/ramfs/file-mmu.o
  CC      fs/squashfs/dir.o
  CC      kernel/time/tick-broadcast.o
  CC      security/keys/permission.o
  AR      fs/ramfs/built-in.a
  CC      fs/hugetlbfs/inode.o
  CC      fs/squashfs/export.o
  CC      security/keys/process_keys.o
  CC      kernel/time/tick-broadcast-hrtimer.o
  CC      fs/squashfs/file.o
  CC      security/keys/request_key.o
  CC      fs/ext4/xattr_hurd.o
  CC      fs/ext4/xattr_trusted.o
  CC      kernel/time/sched_clock.o
  AR      fs/hugetlbfs/built-in.a
  CC      fs/fat/cache.o
  CC      kernel/time/tick-oneshot.o
  CC      fs/squashfs/fragment.o
  CC      fs/ext4/xattr_user.o
  CC      kernel/time/tick-sched.o
  CC      fs/ext4/fast_commit.o
  CC      kernel/time/vsyscall.o
  CC      fs/squashfs/id.o
  CC      security/keys/request_key_auth.o
  CC      fs/fat/dir.o
  CC      kernel/time/timekeeping_debug.o
  CC      fs/ext4/orphan.o
  CC      security/keys/user_defined.o
  CC      fs/squashfs/inode.o
  CC      security/keys/compat.o
  CC      kernel/time/namespace.o
  CC      fs/squashfs/namei.o
  CC      fs/squashfs/super.o
  CC      security/keys/proc.o
  CC      fs/ext4/acl.o
  CC      security/keys/sysctl.o
  CC      fs/squashfs/symlink.o
  CC      fs/squashfs/decompressor.o
  AR      kernel/time/built-in.a
  CC      kernel/cgroup/cgroup.o
  CC      fs/squashfs/file_cache.o
  CC      security/keys/keyctl_pkey.o
  CC      fs/squashfs/decompressor_single.o
  CC      fs/squashfs/lz4_wrapper.o
  CC      fs/fat/fatent.o
  AR      fs/ext4/built-in.a
  CC      fs/exfat/inode.o
  CC      fs/squashfs/xz_wrapper.o
  CC      fs/squashfs/zlib_wrapper.o
  AR      security/keys/built-in.a
  CC      security/integrity/iint.o
  CC      security/integrity/integrity_audit.o
  CC      security/commoncap.o
  CC      security/min_addr.o
  AR      fs/squashfs/built-in.a
  CC      fs/isofs/namei.o
  CC      fs/isofs/inode.o
  AR      security/integrity/built-in.a
  CC      security/security.o
  CC      fs/exfat/namei.o
  CC      security/inode.o
  CC      fs/isofs/dir.o
  CC      fs/fat/file.o
  CC      security/lsm_audit.o
  CC      fs/isofs/util.o
  CC      fs/isofs/rock.o
  CC      fs/exfat/dir.o
  CC      security/device_cgroup.o
  CC      fs/isofs/export.o
  CC      fs/isofs/joliet.o
  CC      fs/isofs/compress.o
  CC      fs/fat/inode.o
  CC      fs/fat/misc.o
  CC      fs/exfat/super.o
  CC      fs/exfat/fatent.o
  CC      fs/exfat/cache.o
  AR      fs/isofs/built-in.a
  CC      fs/apfs/btree.o
  AR      security/built-in.a
  CC      crypto/asymmetric_keys/asymmetric_type.o
  CC      fs/apfs/compress.o
  CC      kernel/cgroup/rstat.o
  CC      fs/exfat/nls.o
  CC      fs/fat/nfs.o
  CC      fs/apfs/dir.o
  CC      fs/hfsplus/super.o
  CC      kernel/cgroup/namespace.o
  CC      fs/exfat/misc.o
  CC      crypto/asymmetric_keys/restrict.o
  CC      fs/apfs/extents.o
  CC      fs/hfsplus/options.o
  CC      fs/fat/namei_vfat.o
  CC      crypto/asymmetric_keys/signature.o
  CC      fs/exfat/file.o
  CC      fs/hfsplus/inode.o
  CC      fs/hfsplus/ioctl.o
  CC      fs/apfs/file.o
  CC      kernel/cgroup/cgroup-v1.o
  AR      fs/fat/built-in.a
  CC      fs/hfs/bitmap.o
  CC      crypto/asymmetric_keys/public_key.o
  CC      fs/apfs/inode.o
  CC      fs/exfat/balloc.o
  CC      fs/hfsplus/extents.o
  ASN.1   crypto/asymmetric_keys/x509.asn1.[ch]
  ASN.1   crypto/asymmetric_keys/x509_akid.asn1.[ch]
  CC      crypto/asymmetric_keys/x509_public_key.o
  CC      fs/hfsplus/catalog.o
  CC      fs/hfs/bfind.o
  CC      fs/hfsplus/dir.o
  AR      fs/exfat/built-in.a
  CC      fs/nfs/filelayout/filelayout.o
  CC      fs/hfsplus/btree.o
  ASN.1   crypto/asymmetric_keys/pkcs7.asn1.[ch]
  CC      crypto/asymmetric_keys/pkcs7_trust.o
  CC      fs/hfs/bnode.o
  CC      fs/hfsplus/bnode.o
  CC      fs/apfs/key.o
  CC      kernel/cgroup/freezer.o
  CC      fs/hfsplus/brec.o
  CC      crypto/asymmetric_keys/pkcs7_verify.o
  CC      fs/hfsplus/bfind.o
  CC      fs/apfs/libzbitmap.o
  CC      fs/hfs/brec.o
  CC      kernel/cgroup/legacy_freezer.o
  CC      fs/apfs/lzfse/lzfse_decode.o
  CC      fs/nfs/filelayout/filelayoutdev.o
  CC      fs/hfsplus/tables.o
  CC      crypto/asymmetric_keys/x509.asn1.o
  CC      crypto/asymmetric_keys/x509_akid.asn1.o
  CC      fs/hfsplus/unicode.o
  CC      crypto/asymmetric_keys/x509_cert_parser.o
  CC      crypto/asymmetric_keys/pkcs7.asn1.o
  CC      crypto/asymmetric_keys/pkcs7_parser.o
  CC      fs/apfs/lzfse/lzfse_decode_base.o
  CC      fs/apfs/lzfse/lzfse_fse.o
  CC      fs/hfs/btree.o
  CC      fs/hfs/catalog.o
  CC      kernel/cgroup/pids.o
  CC      fs/apfs/lzfse/lzvn_decode_base.o
  CC      fs/apfs/message.o
  CC      fs/hfsplus/wrapper.o
  CC      fs/hfsplus/bitmap.o
  AR      fs/nfs/filelayout/built-in.a
  CC      fs/nfs/flexfilelayout/flexfilelayout.o
  AR      crypto/asymmetric_keys/built-in.a
  CC      crypto/api.o
  CC      crypto/cipher.o
  CC      kernel/cgroup/cpuset.o
  CC      fs/hfs/dir.o
  CC      fs/apfs/namei.o
  CC      fs/hfsplus/part_tbl.o
  CC      fs/hfsplus/attributes.o
  CC      fs/apfs/node.o
  CC      fs/hfs/extent.o
  CC      crypto/compress.o
  CC      crypto/algapi.o
  CC      fs/hfsplus/xattr.o
  CC      fs/hfsplus/xattr_user.o
  CC      fs/hfsplus/xattr_security.o
  CC      fs/hfs/inode.o
  CC      fs/hfsplus/xattr_trusted.o
  CC      fs/hfs/attr.o
  CC      fs/apfs/object.o
  CC      fs/nfs/flexfilelayout/flexfilelayoutdev.o
  CC      fs/apfs/snapshot.o
  AR      fs/hfsplus/built-in.a
  CC      fs/exportfs/expfs.o
  CC      fs/hfs/mdb.o
  CC      fs/hfs/part_tbl.o
  CC      fs/hfs/string.o
  CC      crypto/scatterwalk.o
  AR      kernel/cgroup/built-in.a
  CC      kernel/trace/trace_clock.o
  CC      fs/apfs/spaceman.o
  CC      fs/hfs/super.o
  AR      fs/exportfs/built-in.a
  CC      fs/lockd/clntlock.o
  CC      fs/hfs/sysdep.o
  AR      fs/nfs/flexfilelayout/built-in.a
  CC      fs/nfs/client.o
  CC      fs/hfs/trans.o
  AR      kernel/trace/built-in.a
  CC      crypto/proc.o
  CC      kernel/bpf/core.o
  CC      kernel/events/core.o
  CC      kernel/events/ring_buffer.o
  CC      fs/apfs/super.o
  AR      fs/hfs/built-in.a
  CC      fs/nls/nls_base.o
  CC      crypto/aead.o
  CC      fs/nls/nls_cp437.o
  CC      fs/lockd/clntproc.o
  CC      fs/apfs/symlink.o
  CC      fs/nls/nls_iso8859-1.o
  CC      crypto/geniv.o
  CC      fs/nfs/dir.o
  CC      fs/apfs/transaction.o
  CC      fs/nls/nls_utf8.o
  CC      fs/nfs/file.o
  AR      fs/nls/built-in.a
  CC      fs/smbfs_common/cifs_arc4.o
  CC      fs/apfs/unicode.o
  CC      kernel/bpf/syscall.o
  CC      crypto/skcipher.o
  CC      fs/smbfs_common/cifs_md4.o
  CC      fs/lockd/clntxdr.o
  CC      fs/apfs/xattr.o
  AR      fs/smbfs_common/built-in.a
  CC      fs/cifs/trace.o
  CC      fs/apfs/xfield.o
  CC      fs/cifs/cifsfs.o
  CC      fs/lockd/host.o
  CC      fs/nfs/getroot.o
  AR      fs/apfs/built-in.a
  CC      crypto/echainiv.o
  CC      fs/nfs/inode.o
  CC      fs/nfs/super.o
  CC      crypto/ahash.o
  CC      fs/lockd/svc.o
  CC      fs/lockd/svclock.o
  CC      fs/cifs/cifssmb.o
  CC      crypto/shash.o
  CC      fs/lockd/svcshare.o
  CC      kernel/bpf/verifier.o
  CC      fs/nfs/io.o
  CC      kernel/events/callchain.o
  CC      fs/lockd/svcproc.o
  CC      crypto/akcipher.o
  CC      fs/lockd/svcsubs.o
  CC      kernel/events/hw_breakpoint.o
  CC      fs/nfs/direct.o
  CC      crypto/kpp.o
  CC      fs/lockd/mon.o
  ASN.1   crypto/rsapubkey.asn1.[ch]
  ASN.1   crypto/rsaprivkey.asn1.[ch]
  CC      crypto/rsa.o
